CT,field_2,field_3,O_Area_km2,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,P_Area_km2
38,-4.03065,5.36259,2.25615,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,2.25615
39,-4.21063,5.92858,58.3647,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,58.3647
40,-4.02307,5.32383,0.16913,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.16913
41,-3.95385,5.36275,1.11222,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,1.11222
42,-4.21744,5.92862,103.83684,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,103.83684
43,-4.48023,6.48586,203.52004,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,203.52004
44,-3.20485,7.1279,75.29866,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,73.58251
44,-3.20485,7.1279,75.29866,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,,1.71615
45,-3.94427,5.97902,100.01307,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,100.01307
46,-3.85541,6.35854,178.94931,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,178.94931
47,-4.93826,6.25781,258.15027,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,36.9469
47,-4.93826,6.25781,258.15027,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,221.20337
48,-6.08808,6.0468,109.7944,57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,,109.7944
49,-4.88978,5.52631,577.27302,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,538.12407
49,-4.88978,5.52631,577.27302,57,CIV,Côte d'Ivoire,15,Sud-Bandama,Région,Region,,,39.14895
50,-5.31295,7.65729,508.459,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,508.459
51,-5.05764,7.68297,6.55172,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,6.55172
52,-3.80244,5.47702,126.28884,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,126.28884
53,-5.0232,7.66199,9.23186,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,9.23186
54,-3.96056,5.28933,0.66718,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.66718
55,-3.19681,6.39418,184.23572,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,183.42937
55,-3.19681,6.39418,184.23572,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,0.80635
56,-4.01155,5.45098,16.71898,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,16.71898
57,-4.0397,5.32767,1.08793,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,1.08793
58,-3.22969,6.96491,205.03188,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,205.03188
59,-5.07432,7.23481,259.25201,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,259.25201
60,-5.32604,6.83946,73.67119,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,73.67119
61,-3.94011,5.35375,3.08417,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,3.08417
62,-5.50222,6.34666,137.71581,57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,,137.71581
63,-3.88671,6.37991,24.06961,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,24.06961
64,-5.87938,6.93889,184.40094,57,CIV,Côte d'Ivoire,10,Marahoué,Région,Region,,,184.40094
65,-4.36274,5.44985,132.6778,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,132.6778
66,-3.06638,5.67865,104.18266,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,104.18266
67,-5.62225,5.65636,236.61362,57,CIV,Côte d'Ivoire,15,Sud-Bandama,Région,Region,,,236.61362
68,-4.36297,5.20677,41.8118,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,41.8118
69,-3.96111,5.26983,2.7803,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,2.7803
70,-3.66106,5.4971,251.70859,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,251.70859
71,-3.85077,5.23428,34.89895,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,34.89895
72,-3.96196,5.34994,0.6718,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.6718
73,-2.90139,5.27266,120.94377,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,120.94377
74,-5.04798,7.91716,698.19045,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,698.19045
75,-4.06972,5.32628,0.47401,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.47401
76,-3.95763,5.31084,1.64527,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,1.64527
77,-4.08809,5.32126,0.8234,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.8234
78,-5.26029,7.35184,209.74548,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,4.96765
78,-5.26029,7.35184,209.74548,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,204.77783
79,-3.96099,5.36338,0.53427,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.53427
80,-3.57669,6.82278,286.46735,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,286.46735
81,-4.06013,5.32238,0.53834,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.53834
82,-3.97537,5.30374,0.24216,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.24216
83,-3.53552,7.10659,597.70144,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,509.69415
83,-3.53552,7.10659,597.70144,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,88.0073
84,-4.25701,7.3176,768.20711,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,768.20711
85,-5.97337,6.12115,59.89328,57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,,59.89328
86,-4.02096,5.39615,4.95267,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,4.95267
87,-4.09993,5.34533,0.56818,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.56818
88,-4.47086,6.07631,330.29032,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,154.59949
88,-4.47086,6.07631,330.29032,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,175.69083
89,-3.76525,6.23048,201.74751,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,201.74751
90,-4.00638,5.34298,0.48588,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.48588
91,-6.91869,7.66273,936.17838,57,CIV,Côte d'Ivoire,18,Worodougou,Région,Region,,,64.49173
91,-6.91869,7.66273,936.17838,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,,6.61229
91,-6.91869,7.66273,936.17838,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur,865.07436
92,-4.06392,6.77802,210.34475,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,210.34475
93,-5.55792,7.48553,792.45137,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,1.1169
93,-5.55792,7.48553,792.45137,57,CIV,Côte d'Ivoire,10,Marahoué,Région,Region,,,16.834
93,-5.55792,7.48553,792.45137,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,774.50048
94,-4.06705,5.36684,3.87394,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,3.87394
95,-3.98486,5.40433,0.7737,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.7737
96,-4.01015,5.42625,0.84114,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.84114
97,-5.02967,6.68104,313.28793,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,257.63124
97,-5.02967,6.68104,313.28793,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,55.65669
98,-5.53866,7.02652,335.94459,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,113.51392
98,-5.53866,7.02652,335.94459,57,CIV,Côte d'Ivoire,10,Marahoué,Région,Region,,,222.43067
99,-3.9878,5.3875,0.79769,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.79769
100,-3.6716,6.65153,390.91152,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,51.94893
100,-3.6716,6.65153,390.91152,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,338.96259
101,-3.9688,5.34888,0.77349,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.77349
102,-3.97267,5.33884,1.00997,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,1.00997
103,-3.96382,5.30455,0.78534,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.78534
104,-4.52186,6.3338,498.90453,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,82.52152
104,-4.52186,6.3338,498.90453,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,416.38301
105,-4.04961,5.49369,30.56534,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,30.56534
106,-3.41525,6.5603,345.57949,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,345.57949
107,-2.85098,7.88275,183.77585,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,,183.77585
108,-3.17258,5.98135,144.25695,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,144.25695
109,-3.33333,6.29967,126.93792,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,126.93792
110,-3.3545,6.98677,138.94068,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,138.94068
111,-4.00775,5.33,0.44661,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.44661
112,-4.0598,7.13957,370.15556,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,370.15556
113,-3.94572,6.66989,458.02243,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,27.10855
113,-3.94572,6.66989,458.02243,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,430.91388
114,-4.00285,5.30028,0.31288,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.31288
115,-3.76114,5.21027,31.42,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,31.42
116,-5.14975,7.61025,221.99603,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,221.99603
117,-3.88878,6.95364,319.10132,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,2.13441
117,-3.88878,6.95364,319.10132,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,316.96691
118,-5.39288,7.35259,582.50394,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,201.88145
118,-5.39288,7.35259,582.50394,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,380.62249
119,-4.2861,6.77575,268.63448,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,268.63448
120,-3.81207,5.97372,451.67114,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,334.90806
120,-3.81207,5.97372,451.67114,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,116.76308
121,-3.50752,5.14369,62.38088,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,33.85231
121,-3.50752,5.14369,62.38088,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,28.52856
122,-4.9843,6.49995,170.73699,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,170.73699
123,-2.98866,7.71228,278.94664,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,,278.94664
124,-4.01988,5.32314,0.11426,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.11426
125,-3.38724,5.14509,17.45759,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,17.45759
126,-4.08183,5.33185,0.71407,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.71407
127,-5.11824,6.78352,208.30255,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,208.30255
128,-3.98376,5.54571,168.20499,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,4.83084
128,-3.98376,5.54571,168.20499,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,163.37415
129,-4.17935,5.45614,118.62241,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,118.62241
130,-3.97927,5.36671,0.6766,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.6766
131,-4.04517,6.06715,407.04777,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,402.73931
131,-4.04517,6.06715,407.04777,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,4.30846
132,-5.25004,6.80222,10.09407,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,10.09407
133,-7.56439,9.5025,1676.33472,57,CIV,Côte d'Ivoire,4,Denguélé,Région,Region,,,1676.33472
134,-3.1615,5.60284,327.00045,57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,327.00045
135,-4.04503,5.63294,278.18326,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,249.31036
135,-4.04503,5.63294,278.18326,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,28.8729
136,-4.08899,5.52655,125.18378,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,0.6354
136,-4.08899,5.52655,125.18378,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,124.54838
137,-4.08878,5.313,0.97441,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.97441
138,-3.98552,5.30003,0.25985,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.25985
139,-6.78026,7.12552,183.36524,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur,183.36524
140,-6.65866,4.76788,2.59626,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur,2.59626
141,-5.94555,6.14865,60.1245,57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,,60.1245
142,-4.89402,5.65708,457.77571,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,457.60729
142,-4.89402,5.65708,457.77571,57,CIV,Côte d'Ivoire,15,Sud-Bandama,Région,Region,,,0.16842
143,-4.01889,5.31874,0.14326,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.14326
144,-5.35693,5.84285,54.4426,57,CIV,Côte d'Ivoire,15,Sud-Bandama,Région,Region,,,54.4426
145,-5.15268,9.19053,896.28619,57,CIV,Côte d'Ivoire,14,Savanes,Région,Region,,,216.35855
145,-5.15268,9.19053,896.28619,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,679.92763
146,-4.05711,5.33374,0.52962,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.52962
147,-4.11171,5.36914,8.42273,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,8.42273
148,-3.88921,5.34668,13.02748,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,13.02748
149,-7.2145,6.89785,479.09247,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,Région,Region,,,318.04065
149,-7.2145,6.89785,479.09247,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,,161.05182
150,-6.52221,6.18078,103.17403,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur,103.17403
151,-5.80809,6.49383,122.90827,57,CIV,Côte d'Ivoire,10,Marahoué,Région,Region,,,27.49827
151,-5.80809,6.49383,122.90827,57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,,95.40999
152,-6.45959,7.23788,216.78481,57,CIV,Côte d'Ivoire,10,Marahoué,Région,Region,,,33.60193
152,-6.45959,7.23788,216.78481,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur,183.18288
153,-6.03692,5.54863,477.58897,57,CIV,Côte d'Ivoire,15,Sud-Bandama,Région,Region,,,118.94388
153,-6.03692,5.54863,477.58897,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur,358.64508
154,-7.57463,9.18568,2100.9916,57,CIV,Côte d'Ivoire,2,Bafing,Région,Region,,,21.85979
154,-7.57463,9.18568,2100.9916,57,CIV,Côte d'Ivoire,4,Denguélé,Région,Region,,,2079.1318
155,-8.40596,6.45712,188.22745,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,Région,Region,,,188.22745
156,-6.42959,6.32012,140.18303,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur,11.51045
156,-6.42959,6.32012,140.18303,57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,,46.62572
156,-6.42959,6.32012,140.18303,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur,82.04686
157,-5.44867,9.50596,354.80953,57,CIV,Côte d'Ivoire,14,Savanes,Région,Region,,,354.80953
158,-6.00307,5.41455,330.50925,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur,330.50925
159,-6.34647,5.20854,578.58438,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur,578.58438
160,-4.30627,6.70173,120.13722,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,120.13722
161,-5.62566,9.4741,396.96248,57,CIV,Côte d'Ivoire,14,Savanes,Région,Region,,,396.96248
162,-6.73561,8.83983,1363.53275,57,CIV,Côte d'Ivoire,18,Worodougou,Région,Region,,,1363.53275
163,-4.07387,5.33306,0.48226,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.48226
164,-6.18901,7.18813,334.92321,57,CIV,Côte d'Ivoire,10,Marahoué,Région,Region,,,55.24514
164,-6.18901,7.18813,334.92321,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur,279.67807
165,-4.02218,5.34772,0.12583,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.12583
166,-7.49352,7.01918,516.45335,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,Région,Region,,,2.32758
166,-7.49352,7.01918,516.45335,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,,514.12578
167,-4.34099,6.16449,377.3419,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,174.95212
167,-4.34099,6.16449,377.3419,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,202.38978
168,-3.96216,5.29779,0.54415,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.54415
169,-6.66898,4.77257,31.47165,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur,31.47165
170,-3.95148,5.24696,0.84246,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.84246
171,-4.09151,5.33845,0.50282,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.50282
172,-5.29165,6.82433,9.3073,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,9.3073
173,-3.74197,5.20895,2.90111,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,2.90111
174,-4.13471,8.04059,1579.9826,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,215.89132
174,-4.13471,8.04059,1579.9826,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,1112.38876
174,-4.13471,8.04059,1579.9826,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,,251.70252
175,-5.98932,6.00817,243.10819,57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,,243.10819
176,-5.95894,6.46199,236.03741,57,CIV,Côte d'Ivoire,10,Marahoué,Région,Region,,,11.66857
176,-5.95894,6.46199,236.03741,57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,,194.47516
176,-5.95894,6.46199,236.03741,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur,29.89368
177,-4.00802,5.90714,174.74392,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,174.74392
178,-3.84168,6.47148,380.09221,57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,370.24265
178,-3.84168,6.47148,380.09221,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,9.84955
179,-6.27719,7.16895,185.56025,57,CIV,Côte d'Ivoire,10,Marahoué,Région,Region,,,28.36232
179,-6.27719,7.16895,185.56025,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur,157.19793
180,-3.59959,5.27547,6.12302,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,6.12302
181,-6.85641,6.87054,334.88705,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur,334.88705
182,-4.00565,5.40675,0.46599,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.46599
183,-3.996,5.30321,0.46655,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.46655
184,-3.98118,5.3476,0.55102,57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,0.55102
185,-4.45836,6.77943,267.89624,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,267.89624
186,-5.57066,7.67909,394.21556,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,382.3669
186,-5.57066,7.67909,394.21556,57,CIV,Côte d'Ivoire,18,Worodougou,Région,Region,,,11.84867
