CT,field_2,field_3,O_Area_km2,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,P_Area_km2
589,-6.51092,6.83077,81.96527,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,Département,Department,,,81.96527
695,-3.97663,5.35394,0.57384,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.57384
410,-3.99866,5.3584,1.03029,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,1.03029
517,-4.24977,5.7403,209.35245,57,CIV,Côte d'Ivoire,1,Agnéby,2,Agboville,Département,Department,,,209.35245
664,-6.36245,5.97814,90.13324,57,CIV,Côte d'Ivoire,6,Fromager,13,Gagnoa,Département,Department,,,2.21737
664,-6.36245,5.97814,90.13324,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,Département,Department,,,87.91586
802,-4.28525,6.63531,193.86326,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,30,Bongouanou,Département,Department,,,193.86326
1007,-5.92179,6.61049,114.91139,57,CIV,Côte d'Ivoire,10,Marahoué,24,Sinfra,Département,Department,,,114.91139
532,-3.97368,5.30246,0.2301,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.2301
1137,-3.64934,6.18995,172.45693,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,Département,Department,,,172.45693
595,-3.92508,7.45964,591.81751,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,31,Daoukro,Département,Department,,,42.40358
595,-3.92508,7.45964,591.81751,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,33,Mbahiakro,Département,Department,,M'bahiakro,549.41393
1039,-4.02071,5.35506,0.1381,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.1381
189,-3.41027,6.07837,547.23714,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,Département,Department,,,329.16253
189,-3.41027,6.07837,547.23714,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,Département,Department,,,218.07461
438,-4.03918,5.3213,0.78374,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.78374
426,-7.40235,6.80278,335.36837,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,26,Duékoué,Département,Department,,,329.92021
426,-7.40235,6.80278,335.36837,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,Département,Department,,,5.44817
316,-4.08861,5.38932,19.87328,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,19.87328
379,-3.00493,5.27995,95.94438,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,Département,Department,,,95.94438
1211,-4.33135,6.94568,457.80283,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,30,Bongouanou,Département,Department,,,1.99874
1211,-4.33135,6.94568,457.80283,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,Département,Department,,,455.80409
624,-5.68791,5.84314,72.29203,57,CIV,Côte d'Ivoire,15,Sud-Bandama,39,Lakota,Département,Department,,,72.29203
569,-5.35869,6.14902,263.81797,57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,Département,Department,,,237.94613
569,-5.35869,6.14902,263.81797,57,CIV,Côte d'Ivoire,15,Sud-Bandama,39,Lakota,Département,Department,,,22.4428
569,-5.35869,6.14902,263.81797,57,CIV,Côte d'Ivoire,6,Fromager,14,Oumé,Département,Department,,,3.42903
621,-5.45356,6.60173,295.43285,57,CIV,Côte d'Ivoire,10,Marahoué,24,Sinfra,Département,Department,,,14.20433
621,-5.45356,6.60173,295.43285,57,CIV,Côte d'Ivoire,6,Fromager,14,Oumé,Département,Department,,,251.82351
621,-5.45356,6.60173,295.43285,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,Département,Department,,,29.40501
1229,-4.05858,5.33874,0.29238,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.29238
486,-6.6443,5.24334,161.73127,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,Département,Department,,,161.57249
486,-6.6443,5.24334,161.73127,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,Département,Department,,,0.15877
1101,-7.68257,8.28643,471.0204,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,Département,Department,,,471.0204
334,-6.84128,7.13352,274.55109,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,17,Vavoua,Département,Department,,,274.55109
58,-3.22969,6.96491,205.03188,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,29,Agnibilékrou,Département,Department,,Agnibilekro,205.03188
401,-3.34959,6.36495,152.63898,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,Département,Department,,,152.63898
1052,-5.17608,9.05753,1875.35707,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,43,Dabakala,Département,Department,,,190.14544
1052,-5.17608,9.05753,1875.35707,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,Département,Department,,,1640.94956
1052,-5.17608,9.05753,1875.35707,57,CIV,Côte d'Ivoire,14,Savanes,35,Ferkessédougou,Département,Department,,,23.29133
1052,-5.17608,9.05753,1875.35707,57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,Département,Department,,,20.97075
538,-6.82948,6.55712,371.68184,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,16,Issia,Département,Department,,,354.78356
538,-6.82948,6.55712,371.68184,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,Département,Department,,,16.89828
906,-4.87866,7.43084,274.13103,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,Département,Department,,,16.17244
906,-4.87866,7.43084,274.13103,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,Département,Department,,,257.95858
259,-3.81509,5.2964,104.63091,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,104.63091
685,-4.01845,5.38497,1.91257,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,1.91257
150,-6.52221,6.18078,103.17403,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,Département,Department,,,103.17403
763,-6.83869,8.07764,1082.96395,57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,Département,Department,,,1081.90257
763,-6.83869,8.07764,1082.96395,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,Département,Department,,,1.06138
1184,-3.9918,5.3791,0.67996,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.67996
84,-4.25701,7.3176,768.20711,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,31,Daoukro,Département,Department,,,629.15999
84,-4.25701,7.3176,768.20711,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,Département,Department,,,74.21442
84,-4.25701,7.3176,768.20711,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,33,Mbahiakro,Département,Department,,M'bahiakro,64.83269
55,-3.19681,6.39418,184.23572,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,Département,Department,,,0.80635
55,-3.19681,6.39418,184.23572,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,Département,Department,,,183.42937
537,-3.97182,5.29142,0.4036,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.4036
1156,-5.26091,6.80988,1.89571,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,Département,Department,,,1.89571
13,-3.99723,5.41719,0.87919,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.87919
359,-2.99496,5.67607,82.91317,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,Département,Department,,,82.91317
320,-4.32376,5.34085,92.40152,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,92.40152
37,-2.91929,5.41437,216.43889,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,Département,Department,,,216.43889
920,-4.37103,5.33436,15.17525,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,15.17525
885,-4.0112,5.33439,0.805,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.805
768,-4.70996,6.07833,286.25068,57,CIV,Côte d'Ivoire,9,Lagunes,22,Tiassalé,Département,Department,,,286.25068
15,-3.21174,5.46911,52.09352,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,Département,Department,,,52.09352
47,-4.93826,6.25781,258.15027,57,CIV,Côte d'Ivoire,8,Lacs,18,Toumodi,Département,Department,,,36.9469
47,-4.93826,6.25781,258.15027,57,CIV,Côte d'Ivoire,9,Lagunes,22,Tiassalé,Département,Department,,,221.20337
541,-3.74104,5.21655,7.19429,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,7.19429
1222,-4.39198,5.37298,28.93981,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,28.93981
1010,-4.2262,5.32006,56.93361,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,56.93361
850,-3.50854,6.74034,30.6561,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,Département,Department,,,30.6561
374,-6.16766,6.90421,199.05005,57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,Département,Department,,,194.13288
374,-6.16766,6.90421,199.05005,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,Département,Department,,,4.91717
1075,-5.96234,5.19268,307.49444,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,5,Sassandra,Département,Department,,,307.49444
32,-3.93289,5.25452,0.93439,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.93439
666,-6.60287,6.8602,157.14625,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,Département,Department,,,157.14625
762,-5.64969,9.46082,557.70295,57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,Département,Department,,,557.70295
252,-5.67218,8.21138,637.00815,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,Département,Department,,,44.53979
252,-5.67218,8.21138,637.00815,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,Département,Department,,,592.46837
721,-3.32607,5.18737,135.60401,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,Département,Department,,,134.73801
721,-3.32607,5.18737,135.60401,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.866
1226,-4.8201,6.83788,796.87489,57,CIV,Côte d'Ivoire,8,Lacs,18,Toumodi,Département,Department,,,3.25734
1226,-4.8201,6.83788,796.87489,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,Département,Department,,,527.26079
1226,-4.8201,6.83788,796.87489,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,Département,Department,,,266.35676
449,-6.46946,7.05772,234.37031,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,Département,Department,,,234.37031
925,-4.0121,5.409,0.89449,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.89449
631,-6.42427,9.87601,266.64705,57,CIV,Côte d'Ivoire,14,Savanes,34,Boundiali,Département,Department,,,266.64705
1186,-8.1973,6.91842,166.75166,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,11,Danané,Département,Department,,,166.75166
439,-2.96027,5.14334,78.27153,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,Département,Department,,,78.27153
671,-5.27738,6.96619,118.67029,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,Département,Department,,,118.67029
113,-3.94572,6.66989,458.02243,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,Département,Department,,,27.10855
113,-3.94572,6.66989,458.02243,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,30,Bongouanou,Département,Department,,,430.91388
951,-3.31671,6.12438,201.51009,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,Département,Department,,,201.51009
128,-3.98376,5.54571,168.20499,57,CIV,Côte d'Ivoire,1,Agnéby,2,Agboville,Département,Department,,,4.83084
128,-3.98376,5.54571,168.20499,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,163.37415
1078,-5.15445,5.6064,386.54103,57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,Département,Department,,,386.48599
1078,-5.15445,5.6064,386.54103,57,CIV,Côte d'Ivoire,9,Lagunes,21,Grand-Lahou,Département,Department,,,0.05505
35,-3.3891,6.65709,162.29093,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,Département,Department,,,162.29093
136,-4.08899,5.52655,125.18378,57,CIV,Côte d'Ivoire,1,Agnéby,2,Agboville,Département,Department,,,0.6354
136,-4.08899,5.52655,125.18378,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,124.54838
217,-7.98344,6.59438,530.23994,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,Département,Department,,,530.23994
427,-6.88195,9.88881,2106.82618,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,Département,Department,,,1456.98184
427,-6.88195,9.88881,2106.82618,57,CIV,Côte d'Ivoire,14,Savanes,34,Boundiali,Département,Department,,,649.84435
330,-4.04546,5.34097,1.38316,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,1.38316
109,-3.33333,6.29967,126.93792,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,Département,Department,,,126.93792
956,-6.08486,4.97452,267.98549,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,5,Sassandra,Département,Department,,,267.98549
731,-3.99212,5.3307,0.83987,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.83987
145,-5.15268,9.19053,896.28619,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,Département,Department,,,679.92763
145,-5.15268,9.19053,896.28619,57,CIV,Côte d'Ivoire,14,Savanes,35,Ferkessédougou,Département,Department,,,216.35855
942,-7.56235,9.82915,824.28759,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,Département,Department,,,824.28759
399,-3.44485,7.10288,326.12691,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,Département,Department,,,12.28457
399,-3.44485,7.10288,326.12691,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,29,Agnibilékrou,Département,Department,,Agnibilekro,313.84234
1019,-3.98932,5.39411,0.67571,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.67571
808,-4.09871,5.32157,0.96493,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.96493
886,-4.05445,5.4528,1.33337,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,1.33337
607,-5.61011,6.65325,348.37922,57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,Département,Department,,,0.34783
607,-5.61011,6.65325,348.37922,57,CIV,Côte d'Ivoire,10,Marahoué,24,Sinfra,Département,Department,,,304.02392
607,-5.61011,6.65325,348.37922,57,CIV,Côte d'Ivoire,6,Fromager,14,Oumé,Département,Department,,,44.00747
689,-4.05198,5.3471,0.96052,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.96052
1225,-4.25572,5.41775,129.28318,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,129.28318
996,-3.9987,5.34812,0.56079,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.56079
179,-6.27719,7.16895,185.56025,57,CIV,Côte d'Ivoire,10,Marahoué,25,Zuénoula,Département,Department,,,28.36232
179,-6.27719,7.16895,185.56025,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,Département,Department,,,157.17464
179,-6.27719,7.16895,185.56025,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,17,Vavoua,Département,Department,,,0.02329
297,-4.0246,5.36367,0.38397,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.38397
143,-4.01889,5.31874,0.14326,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.14326
714,-3.97298,5.27773,0.56561,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.56561
362,-5.33398,6.02274,384.3629,57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,Département,Department,,,361.02271
362,-5.33398,6.02274,384.3629,57,CIV,Côte d'Ivoire,15,Sud-Bandama,39,Lakota,Département,Department,,,23.34019
968,-5.29731,6.88935,64.0074,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,Département,Department,,,64.0074
699,-5.91833,7.40023,193.08893,57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,Département,Department,,,9.37175
699,-5.91833,7.40023,193.08893,57,CIV,Côte d'Ivoire,10,Marahoué,25,Zuénoula,Département,Department,,,183.71718
692,-6.12058,6.10196,175.93304,57,CIV,Côte d'Ivoire,6,Fromager,13,Gagnoa,Département,Department,,,175.93304
635,-7.5463,7.7121,1201.55675,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,10,Biankouma,Département,Department,,,1158.61729
635,-7.5463,7.7121,1201.55675,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,12,Man,Département,Department,,,30.75387
635,-7.5463,7.7121,1201.55675,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,Département,Department,,,12.1856
724,-4.08983,5.33062,0.67669,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.67669
300,-3.93541,5.36357,1.99935,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,1.99935
156,-6.42959,6.32012,140.18303,57,CIV,Côte d'Ivoire,6,Fromager,13,Gagnoa,Département,Department,,,46.62572
156,-6.42959,6.32012,140.18303,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,16,Issia,Département,Department,,,82.04686
156,-6.42959,6.32012,140.18303,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,Département,Department,,,11.51045
315,-5.21533,6.76156,60.68991,57,CIV,Côte d'Ivoire,8,Lacs,18,Toumodi,Département,Department,,,12.463
315,-5.21533,6.76156,60.68991,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,Département,Department,,,48.22692
231,-3.52619,5.48876,372.55437,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,372.55437
619,-2.89407,5.50817,389.4101,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,Département,Department,,,389.4101
566,-3.9082,5.36885,20.6737,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,20.6737
208,-6.03408,7.33873,337.64719,57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,Département,Department,,,0.14095
208,-6.03408,7.33873,337.64719,57,CIV,Côte d'Ivoire,10,Marahoué,25,Zuénoula,Département,Department,,,314.28995
208,-6.03408,7.33873,337.64719,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,Département,Department,,,23.21629
524,-7.49958,6.54896,677.84349,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,26,Duékoué,Département,Department,,,39.65759
524,-7.49958,6.54896,677.84349,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,Département,Department,,,638.1859
801,-4.39997,6.4625,119.06733,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,30,Bongouanou,Département,Department,,,119.06733
1159,-6.24261,6.8007,242.16327,57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,Département,Department,,,12.39564
1159,-6.24261,6.8007,242.16327,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,Département,Department,,,229.76763
82,-3.97537,5.30374,0.24216,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.24216
500,-2.96723,7.89601,129.33241,57,CIV,Côte d'Ivoire,19,Zanzan,48,Bondoukou,Département,Department,,,66.83118
500,-2.96723,7.89601,129.33241,57,CIV,Côte d'Ivoire,19,Zanzan,50,Tanda,Département,Department,,,62.50123
617,-7.15803,4.64042,314.0544,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,7,Tabou,Département,Department,,,24.17216
617,-7.15803,4.64042,314.0544,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,Département,Department,,,289.88224
406,-4.18183,5.67444,199.96573,57,CIV,Côte d'Ivoire,1,Agnéby,2,Agboville,Département,Department,,,198.28314
406,-4.18183,5.67444,199.96573,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,1.68259
33,-3.93629,5.25585,2.89441,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,2.89441
615,-5.61558,5.71696,175.73527,57,CIV,Côte d'Ivoire,15,Sud-Bandama,39,Lakota,Département,Department,,,175.73527
1016,-6.61502,5.77325,56.74553,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,Département,Department,,,56.74553
1218,-3.12862,7.95923,395.3737,57,CIV,Côte d'Ivoire,19,Zanzan,48,Bondoukou,Département,Department,,,156.08011
1218,-3.12862,7.95923,395.3737,57,CIV,Côte d'Ivoire,19,Zanzan,50,Tanda,Département,Department,,,239.29359
98,-5.53866,7.02652,335.94459,57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,Département,Department,,,222.43067
98,-5.53866,7.02652,335.94459,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,Département,Department,,,113.51392
620,-3.49336,5.28325,133.31539,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,Département,Department,,,3.55931
620,-3.49336,5.28325,133.31539,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,129.75608
1119,-5.58228,7.66614,331.66908,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,41,Béoumi,Département,Department,,,235.42007
1119,-5.58228,7.66614,331.66908,57,CIV,Côte d'Ivoire,10,Marahoué,25,Zuénoula,Département,Department,,,87.00253
1119,-5.58228,7.66614,331.66908,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,Département,Department,,,9.24648
74,-5.04798,7.91716,698.19045,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,Département,Department,,,578.88105
74,-5.04798,7.91716,698.19045,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,Département,Department,,,119.3094
425,-4.0182,5.32725,0.20861,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.20861
993,-6.02397,8.41234,995.44777,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,Département,Department,,,988.75559
993,-6.02397,8.41234,995.44777,57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,Département,Department,,,6.69218
276,-5.02719,7.65189,100.924,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,Département,Department,,,100.924
256,-5.48929,6.72243,249.90875,57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,Département,Department,,,37.99184
256,-5.48929,6.72243,249.90875,57,CIV,Côte d'Ivoire,10,Marahoué,24,Sinfra,Département,Department,,,208.78426
256,-5.48929,6.72243,249.90875,57,CIV,Côte d'Ivoire,6,Fromager,14,Oumé,Département,Department,,,0.00957
256,-5.48929,6.72243,249.90875,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,Département,Department,,,3.12309
959,-4.01602,5.30871,0.32742,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.32742
159,-6.34647,5.20854,578.58438,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,Département,Department,,,79.86978
159,-6.34647,5.20854,578.58438,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,5,Sassandra,Département,Department,,,498.7146
453,-6.74457,5.0404,169.31788,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,Département,Department,,,169.31788
698,-7.57489,7.37297,103.37335,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,12,Man,Département,Department,,,103.37335
933,-3.97885,5.2937,0.24679,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,0.24679
